"Source:","C:\Users\Duka Administrator\Documents\GitHub\IoT-Project\KiCad\Device\Device.kicad_sch"
"Date:","12-04-2022 11:23:26"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","29"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number"
"","","C1","1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","",""
"","","C2","20pF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","",""
"","","C3","20pF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","",""
"","","C4","200n","Device:C_Polarized","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~","","","",""
"","","D1","RødLED","Device:LED","LED_THT:LED_D3.0mm_FlatTop","~","","","",""
"","","D2","GrønLED","Device:LED","LED_THT:LED_D3.0mm_FlatTop","~","","","",""
"","","D3","BZX79C3V3","Device:D_Zener","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","","","",""
"","","IC1","ATTINY167-XUR",":ATTINY167-XUR_1","Package_DIP:DIP-20_W7.62mm_Socket","https://ms.componentsearchengine.com/Datasheets/1/ATTINY167-XUR.pdf","8-bit Microcontrollers - MCU AVR 16KB FL 512B EE 512B RAM 16MHz Ind-G","2.64","Microchip","ATTINY167-XUR"
"","","J1","Mikrofon","Connector:Screw_Terminal_01x02","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical","~","","","",""
"","","J2","Lysføler","Connector_Generic:Conn_02x01","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical","~","","","",""
"","","J3","Optisk sensor","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","","","",""
"","","J4","Fugtføler","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","",""
"","","J5","VCC","Connector:Screw_Terminal_01x02","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical","~","","","",""
"","","J6","ESP8266(wifi)","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~","","","",""
"","","J7","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","",""
"","","R1","10k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R2","2.2k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R3","10k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R5","1k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R6","1k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R7","200","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R8","200","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R9","15","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","R10","15","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"","","SW1","SW_MEC_5E",":SW_MEC_5E_2","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","","",""
"","","SW3","SW_MEC_5E",":SW_MEC_5E_2","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","","",""
"","","SW4","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","~","","","",""
"","","Y1","Crystal","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number"
"1","1","C1","1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","",""
"2","2","C2, C3","20pF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","",""
"3","1","C4","200n","Device:C_Polarized","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~","","","",""
"4","1","D1","RødLED","Device:LED","LED_THT:LED_D3.0mm_FlatTop","~","","","",""
"5","1","D2","GrønLED","Device:LED","LED_THT:LED_D3.0mm_FlatTop","~","","","",""
"6","1","D3","BZX79C3V3","Device:D_Zener","Diode_THT:D_DO-15_P10.16mm_Horizontal","~","","","",""
"7","1","IC1","ATTINY167-XUR",":ATTINY167-XUR_1","Package_DIP:DIP-20_W7.62mm_Socket","https://ms.componentsearchengine.com/Datasheets/1/ATTINY167-XUR.pdf","8-bit Microcontrollers - MCU AVR 16KB FL 512B EE 512B RAM 16MHz Ind-G","2.64","Microchip","ATTINY167-XUR"
"8","1","J1","Mikrofon","Connector:Screw_Terminal_01x02","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical","~","","","",""
"9","1","J2","Lysføler","Connector_Generic:Conn_02x01","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical","~","","","",""
"10","1","J3","Optisk sensor","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","","","",""
"11","1","J4","Fugtføler","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","",""
"12","1","J5","VCC","Connector:Screw_Terminal_01x02","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical","~","","","",""
"13","1","J6","ESP8266(wifi)","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~","","","",""
"14","1","J7","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","",""
"15","2","R1, R3","10k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"16","1","R2","2.2k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"17","1","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"18","2","R5, R6","1k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"19","2","R7, R8","200","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"20","2","R9, R10","15","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","",""
"21","2","SW1, SW3","SW_MEC_5E",":SW_MEC_5E_2","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","","",""
"22","1","SW4","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","~","","","",""
"23","1","Y1","Crystal","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","",""
